ducharse	🚿 shower / take a shower	例句：Voy a ducharme. 我要去洗澡<br>词源：ducha ← 法语 douche ← 拉丁 ducere（引导水流）<br>记忆：ducha=淋浴→ducharse=洗淋浴
vacuna	💉 vaccine	例句：ponerse una vacuna 打疫苗<br>词源：拉丁 vacca（牛）<br>记忆：预防疾病
sombrilla	☀️ parasol / beach umbrella	词源：sombra+ -illa<br>记忆：制造阴影
buceador	🤿 diver	例句：un buceador profesional 专业潜水员<br>词源：来自 bucear<br>记忆：水下探索
orilla	🌊 shore / edge	例句：a la orilla del mar 在海边<br>词源：拉丁 ora（边缘）<br>记忆：水的边
escalador	🧗 climber	词源：escalar+ -dor<br>记忆：向上攀爬
conserje	🏢 concierge / caretaker	例句：el conserje del hotel 酒店管理员<br>词源：法语 concierge<br>记忆：管理楼房的人
saco de dormir	🏕️ sleeping bag	词源：saco+ dormir<br>记忆：睡觉的大袋子
manta	🛌 blanket	例句：una manta de lana 羊毛毯<br>词源：拉丁 mantum（覆盖物）<br>记忆：盖在身上的东西
carril	🚗 lane / track	例句：carril de bicicletas 自行车道<br>词源：来自 carro（车）<br>记忆：行驶路线
atasco	🚗🚗 traffic jam / blockage	例句：hay un atasco 堵车了<br>词源：来自 atascar<br>记忆：动不了
andén	🚉 platform	例句：esperar en el andén 在站台等<br>词源：阿拉伯语相关<br>记忆：等车的平台
despegar	✈️ take off / detach	例句：el avión despega 飞机起飞<br>词源：des-+pegar（粘）<br>记忆：从地面脱离
aterrizar	✈️ land	词源：a-+tierra（土地）<br>记忆：回到地面
hipoteca	🏠 mortgage	例句：pagar la hipoteca 还房贷<br>词源：希腊 hypothéke（抵押物）<br>记忆：房子贷款
cartel	📌 poster / sign	例句：un cartel de cine 电影海报<br>词源：意大利 cartello<br>记忆：墙上的宣传
folleto	📄 brochure / leaflet	例句：un folleto turístico 旅游宣传册<br>词源：来自 folio（纸页）<br>记忆：小型宣传资料
mejilla	😊 cheek	例句：un beso en la mejilla 脸颊上的吻<br>词源：拉丁 maxilla（下颌）<br>记忆：脸蛋
barbilla	👇 chin	例句：tener barba en la barbilla 下巴上有胡子<br>词源：来自 barba（胡须）<br>记忆：嘴下面的位置
ceja	👀 eyebrow	例句：levantar las cejas 挑眉<br>词源：拉丁 cilium（睫毛眉毛）<br>记忆：眼睛上方
pestaña	👁️ eyelash	例句：pestañas largas 长睫毛<br>词源：拉丁 pestanea<br>记忆：眼睛的小保护
cana	⚪ gray hair	例句：tener canas 有白头发<br>词源：拉丁 canus（白色）<br>记忆：变白的头发
ciego	🚫👀 blind	例句：una persona ciega 盲人<br>词源：拉丁 caecus（瞎的）<br>记忆：看不见
sordo	🚫👂 deaf	例句：un hombre sordo 聋人<br>词源：拉丁 surdus（聋的）<br>记忆：听不见
mudo	🤐 mute / dumb	例句：quedarse mudo 说不出话<br>词源：拉丁 mutus（无声的）<br>记忆：没有声音
lágrima	😢 tear	例句：una lágrima de alegría 喜悦的眼泪<br>词源：拉丁 lacrima<br>记忆：眼中的水
tumbarse	🛏️ lie down	例句：tumbarse en la cama 躺在床上<br>词源：来自 tumba（倒下的位置）<br>记忆：身体倒下
tirarse	🏊 jump / throw oneself	例句：tirarse al agua 跳入水中<br>词源：来自 tirar（扔投）<br>记忆：投入某处
estornudar	🤧 sneeze	例句：estornudar mucho 经常打喷嚏<br>词源：拉丁 sternutare<br>记忆：阿嚏
callado	🤫 quiet / silent	例句：estar callado 保持沉默<br>词源：来自 callar（沉默）<br>记忆：不讲话
cobarde	😨 coward / cowardly	例句：un acto cobarde 懦弱的行为<br>词源：法语 couard<br>记忆：害怕面对
tacaño	💰 stingy / mean	例句：un hombre tacaño 小气的人<br>词源：古西班牙语<br>记忆：舍不得花钱
envejecer	⏳ age / grow old	例句：envejecer con salud 健康老去<br>词源：en-+viejo（老）<br>记忆：时间带来的变化
lentillas	👁️ contact lenses	例句：llevar lentillas 戴隐形眼镜<br>词源：来自 lente（镜片）<br>记忆：小镜片
cónyuge	💍 spouse	例句：mi cónyuge 我的配偶<br>词源：拉丁 coniux（伴侣）<br>记忆：婚姻伴侣
cuñado	👨 brother-in-law	词源：拉丁 cognatus（有亲属关系）<br>记忆：婚姻关系中的兄弟
suegro	👴 father-in-law	例句：mi suegro 我的岳父<br>词源：拉丁 socer（岳父）<br>记忆：配偶的父亲
nuera	👩 daughter-in-law	例句：mi nuera 我的儿媳<br>词源：拉丁 nurus（儿媳）<br>记忆：儿子的妻子
yerno	👨 son-in-law	例句：mi yerno 我的女婿<br>词源：拉丁 gener<br>记忆：女儿的丈夫
bisabuelo	👴 great-grandfather	词源：bi-+abuelo<br>记忆：再上一代祖父
mellizos	👶👶 fraternal twins	例句：hermanos mellizos 双胞胎兄弟<br>词源：拉丁 gemellus（双生）<br>记忆：两个一起出生
reñir	😠 scold / argue	例句：reñir a un niño 批评孩子<br>词源：拉丁 ringere（争斗）<br>记忆：发生冲突
pelearse	👊 fight / argue	例句：pelearse con alguien 和某人吵架<br>词源：来自 pelo（头发）<br>记忆：冲突
heredar	🏠 inherit	例句：heredar una casa 继承房子<br>词源：拉丁 hereditare<br>记忆：从上一代获得
testamento	📜 will / testament	例句：hacer testamento 立遗嘱<br>词源：拉丁 testamentum<br>记忆：身后安排
casualidad	🎲 chance / coincidence	例句：por casualidad 偶然地<br>词源：拉丁 casus（发生）<br>记忆：巧合
bautizo	💧 baptism	词源：希腊 baptizein（浸入水中）<br>记忆：宗教仪式
comunión	⛪ communion	例句：hacer la primera comunión<br>词源：拉丁 communio（联合）<br>记忆：宗教仪式
santo	✨ saint / holy	例句：Día de Santo 名字节<br>词源：拉丁 sanctus<br>记忆：神圣
refresco	🥤 soft drink / refreshment	例句：tomar un refresco 喝饮料<br>词源：re-+fresco（凉爽）<br>记忆：解渴
licor	🍸 liquor / liqueur	词源：拉丁 liquor（液体）<br>记忆：酒
pudrirse	🍎 rot / decay	例句：La fruta se pudre. 水果腐烂<br>词源：拉丁 putrere<br>记忆：变坏
ayunar	🍽️ fast	词源：拉丁 ieiunare<br>记忆：不进食
sacacorchos	🍷 corkscrew	词源：sacar+corcho（软木塞）<br>记忆：拔瓶塞
corcho	🍾 cork	词源：拉丁 quercus（橡树）<br>记忆：瓶塞
tapón	🧴 cap / stopper	例句：tapón de botella 瓶盖<br>词源：来自 tapar（覆盖）<br>记忆：盖住
bollería	🥐 pastries	词源：bollo（甜面包）+ -ería<br>记忆：甜食
lenguado	🐟 sole fish	词源：来自 lengua（舌头）<br>记忆：扁扁像舌头
dorada	🐟 gilt-head bream	词源：dorado（金色的）<br>记忆：金色鱼
salmonete	🐟 red mullet	词源：来自 salmón 相关<br>记忆：红色小鱼
langostino	🦐 prawn / king prawn	词源：来自 langosta（龙虾）<br>记忆：大虾
mejillón	🦪 mussel	词源：拉丁 musculus（小鼠）<br>记忆：贝类
almeja	🦪 clam	词源：葡萄牙 ameijoa<br>记忆：贝壳海鲜
legumbres	🫘 legumes	例句：comer legumbres 吃豆类<br>词源：拉丁 legumen<br>记忆：豆类总称
frutos secos	🥜 nuts	词源：fruto+seco（干的）<br>记忆：干果
almendras	🌰 almonds	词源：阿拉伯 al-lauz<br>记忆：杏仁
avellanas	🌰 hazelnuts	词源：拉丁 abellana<br>记忆：榛子
albahaca	🌿 basil	词源：阿拉伯 al-ḥabaqa<br>记忆：香草
cuenco	🥣 bowl	词源：拉丁 concha（贝壳）<br>记忆：盛东西的小碗
abrelatas	🥫 can opener	例句：usar un abrelatas 使用开罐器<br>词源：abrir+latas（罐头）<br>记忆：打开罐头
barman	🍸 bartender	例句：trabajar de barman 做酒保<br>词源：英语 bar man<br>记忆：酒吧工作人员
seminario	🌱 seminar	例句：un seminario de historia 历史研讨会<br>词源：拉丁 seminarium（苗圃）<br>记忆：培养知识的地方
castigo	⚠️ punishment	例句：recibir un castigo 受到惩罚<br>词源：拉丁 castigare<br>记忆：做错后的后果
grapadora	📎 stapler	例句：una grapadora de oficina 办公订书机<br>词源：grapa（订书钉）+ -dora<br>记忆：办公用品
clip	📎 paper clip	词源：英语 clip<br>记忆：夹文件
cartulina	📄 cardboard / cardstock	词源：carta（纸）+ -ulina<br>记忆：厚纸
destornillador	🔧 screwdriver	例句：un destornillador eléctrico 电动螺丝刀<br>词源：des-+tornillo（螺丝）<br>记忆：拧螺丝
enchufe	🔌 plug / socket	例句：enchufar el móvil 给手机插电<br>词源：来自 enchufar（插入）<br>记忆：通电接口
delantal	👩‍🍳 apron	词源：delante（前面）相关<br>记忆：厨房装备
almacén	📦 warehouse / storage	例句：un almacén grande 大仓库<br>词源：阿拉伯 al-maḫzan<br>记忆：储存东西
indemnización	💰 compensation / indemnity	例句：recibir una indemnización 获得赔偿<br>词源：拉丁 indemnis（无损害）<br>记忆：弥补损失
comisión	💵 commission	例句：pagar una comisión 支付手续费<br>词源：拉丁 committere（委托）<br>记忆：交易产生的钱
anticipo	💰 advance payment / deposit	例句：pagar un anticipo 支付定金<br>词源：ante（之前）+cipar<br>记忆：提前给的钱
estar de baja	🏥 be on sick leave	例句：Estoy de baja médica. 我在病假<br>词源：baja=低下减少<br>记忆：暂离岗位
ambicioso	🎯 ambitious	例句：un proyecto ambicioso 有雄心的项目<br>词源：拉丁 ambitio（追求）<br>记忆：目标很高
capaz	💪 capable / able	例句：ser capaz de hacer algo 能做到某事<br>词源：拉丁 capax（能容纳的）<br>记忆：有能力
perezoso	😴 lazy / sloth	例句：un chico perezoso 懒孩子<br>词源：来自 pereza（懒惰）<br>记忆：不想动
inaugurar	🎉 inaugurate / open	例句：inaugurar un museo 开设博物馆<br>词源：拉丁 inaugurare<br>记忆：正式开始
desfile	🚶 parade / fashion show	例句：desfile militar 军事阅兵<br>词源：来自 desfilar（列队行进）<br>记忆：队伍展示
campeonato	🏆 championship	例句：ganar un campeonato 赢得冠军<br>词源：来自 campeón（冠军）<br>记忆：冠军竞争
aficionado	❤️ amateur / fan	例句：un fotógrafo aficionado 业余摄影师<br>词源：来自 afición（兴趣）<br>记忆：因兴趣而做
